Week,Retailer,Sales Gold NZ BL,Sales Gold NZ ZR
10/07/2017,Emart24,0,0
10/07/2017,Mini Stop,0,0
10/07/2017,No Brand,0,0
10/07/2017,CU,0,0
10/07/2017,Shinsegae Department,0,0
10/07/2017,Sampling ,1344.955102,1344.955102
10/07/2017,Loss,0,0
10/07/2017,Wholesale,43290.40816,43290.40816
10/07/2017,E-commerce,979.4460641,979.4460641
10/07/2017,Retail,64205.00042,64205.00042
17/07/2017,Lotte Mart,5708.836735,5708.836735
17/07/2017,Lotte super,1608.778426,1608.778426
17/07/2017,Homeplus,6500.41691,6500.41691
17/07/2017,AK Plaza,326,326
17/07/2017,GS Retail,1170,1170
17/07/2017,Lotte Department,295,295
17/07/2017,GS25,118,118
17/07/2017,Emart everyday,1764.659184,1764.659184
17/07/2017,CS Distribution,0,0
17/07/2017,Eland,4973.790087,4973.790087
17/07/2017,Emart,12864.40321,12864.40321
17/07/2017,Emart traders,1025.090962,1025.090962
17/07/2017,Homeplus Express,290.516035,290.516035
17/07/2017,Mega Mart,510.6997085,510.6997085
17/07/2017,Costco Korea,10154.18182,10154.18182
17/07/2017,VIC Market,175,175
17/07/2017,Hyundae Department,1823.731778,1823.731778
17/07/2017,Market 999,46.55976676,46.55976676
17/07/2017,Homeplus 365,16.1516035,16.1516035
17/07/2017,Emart24,0,0
17/07/2017,Mini Stop,0,0
17/07/2017,No Brand,0,0
17/07/2017,CU,0,0
17/07/2017,Shinsegae Department,0,0
17/07/2017,Sampling ,1222.832653,1222.832653
17/07/2017,Loss,0,0
17/07/2017,Wholesale,39120.00292,39120.00292
17/07/2017,E-commerce,561.2361516,561.2361516
17/07/2017,Retail,49371.81622,49371.81622
24/07/2017,Lotte Mart,7752.172012,7752.172012
24/07/2017,Lotte super,744.5714286,744.5714286
24/07/2017,Homeplus,9352.80758,9352.80758
24/07/2017,AK Plaza,237,237
24/07/2017,GS Retail,1355,1355
24/07/2017,Lotte Department,667,667
24/07/2017,GS25,99,99
24/07/2017,Emart everyday,1333.082799,1333.082799
24/07/2017,CS Distribution,0,0
24/07/2017,Eland,625.8600583,625.8600583
24/07/2017,Emart,14345.15569,14345.15569
24/07/2017,Emart traders,1904.700583,1904.700583
