Week,Retailer,Sales Green NZ BL,Sales Green NZ ZR
28/08/2017,Mega Mart,125.8857143,125.8857143
28/08/2017,Costco Korea,6444.545455,6444.545455
28/08/2017,VIC Market,0,0
28/08/2017,Hyundae Department,249.5428571,249.5428571
28/08/2017,Market 999,38.3647744,38.3647744
28/08/2017,Homeplus 365,0,0
28/08/2017,Emart24,0,0
28/08/2017,Mini Stop,0,0
28/08/2017,No Brand,0,0
28/08/2017,CU,0,0
28/08/2017,Shinsegae Department,0,0
28/08/2017,Sampling ,610.5142857,610.5142857
28/08/2017,Loss,0,0
28/08/2017,Wholesale,63233.42857,63233.42857
28/08/2017,E-commerce,175,175
28/08/2017,Retail,37754.93594,37754.93594
04/09/2017,Lotte Mart,3803,3803
04/09/2017,Lotte super,1183.485714,1183.485714
04/09/2017,Homeplus,5852.828571,5852.828571
04/09/2017,AK Plaza,32,32
04/09/2017,GS Retail,1161,1161
04/09/2017,Lotte Department,179,179
04/09/2017,GS25,0,0
04/09/2017,Emart everyday,574.4571429,574.4571429
04/09/2017,CS Distribution,0,0
04/09/2017,Eland,393.3142857,393.3142857
04/09/2017,Emart,7151.714286,7151.714286
04/09/2017,Emart traders,2437.971429,2437.971429
04/09/2017,Homeplus Express,1199.771429,1199.771429
04/09/2017,Mega Mart,85.48571429,85.48571429
04/09/2017,Costco Korea,5656.363636,5656.363636
04/09/2017,VIC Market,381,381
04/09/2017,Hyundae Department,238.1142857,238.1142857
04/09/2017,Market 999,35.13872918,35.13872918
04/09/2017,Homeplus 365,0,0
04/09/2017,Emart24,0,0
04/09/2017,Mini Stop,0,0
04/09/2017,No Brand,0,0
04/09/2017,CU,0,0
04/09/2017,Shinsegae Department,0,0
04/09/2017,Sampling ,594.3714286,594.3714286
04/09/2017,Loss,0,0
04/09/2017,Wholesale,75153.38571,75153.38571
04/09/2017,E-commerce,239,239
04/09/2017,Retail,30364.64522,30364.64522
11/09/2017,Lotte Mart,3231.414286,3231.414286
11/09/2017,Lotte super,722.3485714,722.3485714
11/09/2017,Homeplus,8152.211429,8152.211429
