Table,Year,Month,Week,Year_Week,Year_Month,Row_Title,Full_Title,Title_Core,Title_Type,Value,Title_Type Tagging
Table253,2019,6,26,2019_26,2019_06,(6) 6,(BP5) Price  (SA)  Bonita           ,Price,Bonita,9.0,By Brand
Table253,2019,6,26,2019_26,2019_06,(5) 5,(BP5) Price  (SA)  Bonita           ,Price,Bonita,13.0,By Brand
Table253,2019,6,26,2019_26,2019_06,(4) 4,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.0,By Brand
Table253,2019,6,26,2019_26,2019_06,(3) 3,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,6,26,2019_26,2019_06,(2) 2,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,6,26,2019_26,2019_06,(1) 1,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,6,26,2019_26,2019_06,(0) Cost the least,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,6,26,2019_26,2019_06,Not Answer,(BP5) Price  (SA)  Bonita           ,Price,Bonita,67.0,By Brand
Table253,2019,6,26,2019_26,2019_06,Top 2 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,6,26,2019_26,2019_06,Top 3 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,6,26,2019_26,2019_06,Top 5 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,14.0,By Brand
Table253,2019,6,26,2019_26,2019_06,Bottom 5 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,6.0,By Brand
Table253,2019,6,26,2019_26,2019_06,Bottom 2 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,6,26,2019_26,2019_06,Bottom 3 Boxes,(BP5) Price  (SA)  Bonita           ,Price,Bonita,4.0,By Brand
Table253,2019,6,26,2019_26,2019_06,Mean,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.75,By Brand
Table253,2019,6,26,2019_26,2019_06,S.D,(BP5) Price  (SA)  Bonita           ,Price,Bonita,2.71,By Brand
Table253,2019,6,26,2019_26,2019_06,S.E,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.27,By Brand
Table253,2019,6,23,2019_23,2019_06,Base,(BP5) Price  (SA)  Bonita           ,Price,Bonita,100.0,By Brand
Table253,2019,6,23,2019_23,2019_06,(10) Cost the most,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,6,23,2019_23,2019_06,(9) 9,(BP5) Price  (SA)  Bonita           ,Price,Bonita,1.0,By Brand
Table253,2019,6,23,2019_23,2019_06,(8) 8,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
Table253,2019,6,23,2019_23,2019_06,(7) 7,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,6,23,2019_23,2019_06,(6) 6,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,6,23,2019_23,2019_06,(5) 5,(BP5) Price  (SA)  Bonita           ,Price,Bonita,8.0,By Brand
Table253,2019,6,23,2019_23,2019_06,(4) 4,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,6,23,2019_23,2019_06,(3) 3,(BP5) Price  (SA)  Bonita           ,Price,Bonita,3.0,By Brand
Table253,2019,6,23,2019_23,2019_06,(2) 2,(BP5) Price  (SA)  Bonita           ,Price,Bonita,0.0,By Brand
